"","Country","Region","Year","HealthSpendingPercent","SuicideRate","Country_Name","GDP_per_Capita","GINI_Index","SuicideRate_sqrt"
"450","COL","Americas",2010,7.0713,3.89283,"Colombia",14293.021,0.5461688,1.97302559537376
"451","LVA","Europe",2019,6.63697,17.16161,"Latvia",33959.92,0.34489113,4.1426573597149
"452","NAM","Africa",2009,9.04967,8.60731,"Namibia",10166.29,0.6096475,2.93382173964268
"453","SVK","Europe",2012,7.53581,12.65851,"Slovakia",30959.865,0.26115808,3.55787998673367
"454","ROU","Europe",2020,6.22618,9.74429,"Romania",35802.69,0.3457019,3.12158453353421
"455","PRT","Europe",2011,9.73072,12.27264,"Portugal",36318.336,0.36344677,3.5032327927216
"456","THA","South-East Asia",2017,3.85277,12.19865,"Thailand",20093.963,0.36382803,3.49265658203036
"457","EGY","Eastern Mediterranean",2008,4.46635,0.90497,"Egypt",12391.585,0.31102437,0.951299111741412
"458","ITA","Europe",2015,8.85689,7.19882,"Italy",47523.953,0.35390034,2.68306168397225
"459","UKR","Europe",2018,7.51989,23.52519,"Ukraine",16978.984,0.26071486,4.85027731165961
"460","MDA","Europe",2003,7.02228,20.86923,"Moldova",7034.358,0.34902084,4.56828523627849
"461","MRT","Africa",2014,3.46724,2.77928,"Mauritania",5837.852,0.3261935,1.66711727241967
"462","ESP","Europe",2012,9.15597,7.74195,"Spain",40861.01,0.35403663,2.78243598309108
"463","ISL","Europe",2012,8.23091,13.51987,"Iceland",55983.273,0.26769423,3.67693758445802
"464","BEL","Europe",2007,9.13449,18.73565,"Belgium",58143.42,0.29237667,4.32846970648981
"465","ECU","Americas",2019,7.80768,8.52041,"Ecuador",13853.421,0.45709932,2.91897413486314
"466","CZE","Europe",2012,7.5941,16.69981,"Czechia",41157.88,0.26109937,4.08654010135714
"467","AUT","Europe",2010,10.22102,16.05188,"Austria",60380.14,0.3025161,4.0064797516024
"468","ALB","Europe",2017,6.57849,3.91351,"Albania",14306.299,0.33055663,1.97825933588092
"469","LSO","Africa",2017,10.57478,26.06679,"Lesotho",2924.681,0.44877714,5.10556461128444
"470","MDA","Europe",2019,6.49662,12.68467,"Moldova",14621.24,0.26016647,3.56155443591699
"471","ESP","Europe",2011,9.16797,7.10121,"Spain",42093.582,0.35693976,2.66480956167603
